"filename", "language", "TypeScript", "Markdown", "JSON", "XML", "JavaScript", "JSON with Comments", "Docker", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\dump\dummy-signin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 1, 8, 72
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\hooks\use-mobile.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\hooks\useAttendance.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 158
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\hooks\useAuth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 14
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\hooks\useDashboardData.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 86
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\hooks\useModalQuery.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\attendance.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31, 219
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\helper\auth.helper.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\helper\dataInsert.helper.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\helper\geolocation.helpers.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 138
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\helper\upload.helpers.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 52
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\middleware.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 55, 13, 78
